run_id,experiment,model_name,started_at,ended_at,param_ccp_alpha,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,metric_cv_MAE,metric_cv_MAE_std,tag_phase,tag_stage,metric_MAE,metric_RMSE,metric_R2,metric_best_cv_MAE,param_bootstrap,param_n_estimators
32bc8dd6,phase4_tuning,Random Forest,2026-09-08T18:35:58.387961+00:00,2026-09-08T18:35:58.387974+00:00,,8,sqrt,1,13,0.2376985589845476,0.0317897099718377,phase4_tuning,cv_trial,,,,,False,413.0
bb46ad5c,phase4_tuning,Random Forest,2026-09-08T18:35:58.419582+00:00,2026-09-08T18:35:58.419596+00:00,,14,,17,28,0.2924502813533692,0.037410771623539,phase4_tuning,cv_trial,,,,,False,158.0
54d01c99,phase4_tuning,Random Forest,2026-09-08T18:35:58.450964+00:00,2026-09-08T18:35:58.450976+00:00,,12,0.5,16,16,0.3105207226199987,0.0328812878269367,phase4_tuning,cv_trial,,,,,True,289.0
c8746bc0,phase4_tuning,Random Forest,2026-09-08T18:35:58.482075+00:00,2026-09-08T18:35:58.482111+00:00,,17,log2,12,4,0.329403113893466,0.0288851525433848,phase4_tuning,cv_trial,,,,,False,584.0
2aeb6121,phase4_tuning,Random Forest,2026-09-08T18:35:58.512919+00:00,2026-09-08T18:35:58.512931+00:00,,9,0.7,9,19,0.2824043574496774,0.0355651661994302,phase4_tuning,cv_trial,,,,,True,487.0
27b2051a,phase4_tuning,Random Forest,2026-09-08T18:35:58.544306+00:00,2026-09-08T18:35:58.544319+00:00,,16,sqrt,9,27,0.3336301637514632,0.0294277917787227,phase4_tuning,cv_trial,,,,,True,664.0
e9e9b045,phase4_tuning,Random Forest,2026-09-08T18:35:58.575329+00:00,2026-09-08T18:35:58.575341+00:00,,22,0.5,15,8,0.2959104449624664,0.0312397086852301,phase4_tuning,cv_trial,,,,,False,527.0
b1ab2a75,phase4_tuning,Random Forest,2026-09-08T18:35:58.607294+00:00,2026-09-08T18:35:58.607306+00:00,,10,log2,14,18,0.3799174700454631,0.0299835171557429,phase4_tuning,cv_trial,,,,,True,661.0
8930d39c,phase4_tuning,Random Forest,2026-09-08T18:35:58.641753+00:00,2026-09-08T18:35:58.641766+00:00,,6,sqrt,6,5,0.2874851742055668,0.0295172232113008,phase4_tuning,cv_trial,,,,,False,576.0
f4db2eba,phase4_tuning,Random Forest,2026-09-08T18:35:58.672798+00:00,2026-09-08T18:35:58.672810+00:00,,20,sqrt,12,35,0.3553315533784904,0.0296009041668166,phase4_tuning,cv_trial,,,,,True,301.0
dceddf36,phase4_tuning,Random Forest,2026-09-08T18:35:58.703074+00:00,2026-09-08T18:35:58.703112+00:00,,6,0.5,8,22,0.2594052939065498,0.0375568757783826,phase4_tuning,cv_trial,,,,,False,437.0
1904edc0,phase4_tuning,Random Forest,2026-09-08T18:35:58.734999+00:00,2026-09-08T18:35:58.735011+00:00,,23,sqrt,13,30,0.3583702859803396,0.0325060854831773,phase4_tuning,cv_trial,,,,,True,114.0
bd16d60c,phase4_tuning,Random Forest,2026-09-08T18:35:58.766140+00:00,2026-09-08T18:35:58.766151+00:00,,3,,7,10,0.2958430373828983,0.0339682503864461,phase4_tuning,cv_trial,,,,,True,443.0
01ee9ffb,phase4_tuning,Random Forest,2026-09-08T18:35:58.796854+00:00,2026-09-08T18:35:58.796866+00:00,,14,log2,19,18,0.4108066631271826,0.0336488055332234,phase4_tuning,cv_trial,,,,,True,491.0
137ee899,phase4_tuning,Random Forest,2026-09-08T18:35:58.826842+00:00,2026-09-08T18:35:58.826854+00:00,,5,,5,29,0.2600952705870276,0.038136408743248,phase4_tuning,cv_trial,,,,,True,234.0
eceb4c81,phase4_tuning,Random Forest,2026-09-08T18:35:58.856821+00:00,2026-09-08T18:35:58.856832+00:00,,10,0.5,2,34,0.2720829623194256,0.0329786576380151,phase4_tuning,cv_trial,,,,,True,147.0
c90ea643,phase4_tuning,Random Forest,2026-09-08T18:35:58.887421+00:00,2026-09-08T18:35:58.887432+00:00,,25,0.7,3,23,0.2472210174768148,0.0382723077144511,phase4_tuning,cv_trial,,,,,True,646.0
5252f79f,phase4_tuning,Random Forest,2026-09-08T18:35:58.918521+00:00,2026-09-08T18:35:58.918532+00:00,,5,0.7,15,15,0.301377540351198,0.0351817318186816,phase4_tuning,cv_trial,,,,,True,742.0
578e0728,phase4_tuning,Random Forest,2026-09-08T18:35:58.949573+00:00,2026-09-08T18:35:58.949585+00:00,,7,sqrt,14,28,0.3563111687134391,0.0301476797617531,phase4_tuning,cv_trial,,,,,True,492.0
55dc762b,phase4_tuning,Random Forest,2026-09-08T18:35:58.981904+00:00,2026-09-08T18:35:58.981919+00:00,,17,sqrt,10,14,0.3343037184623993,0.0305680807506748,phase4_tuning,cv_trial,,,,,True,790.0
409b42e9,phase4_tuning,Random Forest,2026-09-08T18:35:59.013300+00:00,2026-09-08T18:35:59.013312+00:00,,9,,4,31,0.2541749251322391,0.0385758284585469,phase4_tuning,cv_trial,,,,,True,584.0
9dde12be,phase4_tuning,Random Forest,2026-09-08T18:35:59.044700+00:00,2026-09-08T18:35:59.044713+00:00,,9,0.7,15,30,0.3013995995195088,0.0361687626141373,phase4_tuning,cv_trial,,,,,True,135.0
0a36e157,phase4_tuning,Random Forest,2026-09-08T18:35:59.076726+00:00,2026-09-08T18:35:59.076738+00:00,,9,log2,19,23,0.4086758471848101,0.0334088832492871,phase4_tuning,cv_trial,,,,,True,677.0
aa0854f0,phase4_tuning,Random Forest,2026-09-08T18:35:59.111304+00:00,2026-09-08T18:35:59.111317+00:00,,15,,6,29,0.2288029967520243,0.04073680180382,phase4_tuning,cv_trial,,,,,False,127.0
0442b6ff,phase4_tuning,Random Forest,2026-09-08T18:35:59.142365+00:00,2026-09-08T18:35:59.142379+00:00,,14,0.5,11,29,0.2830397186188821,0.0359926083818663,phase4_tuning,cv_trial,,,,,False,572.0
58a40048,phase4_tuning,Random Forest,2026-09-08T18:35:59.174211+00:00,2026-09-08T18:35:59.174223+00:00,,3,,13,4,0.315913652368056,0.0304147951632032,phase4_tuning,cv_trial,,,,,True,458.0
4b5a5c79,phase4_tuning,Random Forest,2026-09-08T18:35:59.206201+00:00,2026-09-08T18:35:59.206214+00:00,,10,log2,9,38,0.3286509384712254,0.0300655277925684,phase4_tuning,cv_trial,,,,,False,324.0
c6e7c431,phase4_tuning,Random Forest,2026-09-08T18:35:59.239052+00:00,2026-09-08T18:35:59.239065+00:00,,12,0.5,15,33,0.3094431926491549,0.0329190350552214,phase4_tuning,cv_trial,,,,,True,707.0
ef5d5ce5,phase4_tuning,Random Forest,2026-09-08T18:35:59.271575+00:00,2026-09-08T18:35:59.271587+00:00,,11,0.5,17,13,0.3024117934533311,0.031053715758599,phase4_tuning,cv_trial,,,,,False,609.0
a29d5211,phase4_tuning,Random Forest,2026-09-08T18:35:59.303589+00:00,2026-09-08T18:35:59.303602+00:00,,4,log2,17,38,0.4025538979469852,0.0333746451080924,phase4_tuning,cv_trial,,,,,True,724.0
d014ed51,phase4_tuning,Random Forest,2026-09-08T18:35:59.335973+00:00,2026-09-08T18:35:59.335987+00:00,,19,log2,17,3,0.3601536690861455,0.0299571819500346,phase4_tuning,cv_trial,,,,,False,741.0
e532d08f,phase4_tuning,Random Forest,2026-09-08T18:35:59.366600+00:00,2026-09-08T18:35:59.366612+00:00,,24,0.7,1,2,0.1477229404377953,0.0464697836668406,phase4_tuning,cv_trial,,,,,False,502.0
c7017e04,phase4_tuning,Random Forest,2026-09-08T18:35:59.398288+00:00,2026-09-08T18:35:59.398300+00:00,,4,0.7,12,27,0.2973224096401609,0.0311710788376431,phase4_tuning,cv_trial,,,,,False,771.0
a814698d,phase4_tuning,Random Forest,2026-09-08T18:35:59.429765+00:00,2026-09-08T18:35:59.429777+00:00,,25,0.5,11,18,0.2777031840316124,0.0365437362480353,phase4_tuning,cv_trial,,,,,False,393.0
a63694b6,phase4_tuning,Random Forest,2026-09-08T18:35:59.461067+00:00,2026-09-08T18:35:59.461107+00:00,,7,0.5,2,7,0.1817445433255238,0.0406251289791314,phase4_tuning,cv_trial,,,,,False,610.0
085e2b0d,phase4_tuning,Random Forest,2026-09-08T18:35:59.492532+00:00,2026-09-08T18:35:59.492545+00:00,,18,,9,7,0.253237320823927,0.04950641330472,phase4_tuning,cv_trial,,,,,False,563.0
433edf41,phase4_tuning,Random Forest,2026-09-08T18:35:59.523725+00:00,2026-09-08T18:35:59.523737+00:00,,5,0.5,4,20,0.2631558672553389,0.0333783488031875,phase4_tuning,cv_trial,,,,,True,445.0
18e43225,phase4_tuning,Random Forest,2026-09-08T18:35:59.558637+00:00,2026-09-08T18:35:59.558650+00:00,,21,0.5,7,34,0.2937536214126194,0.0339940335783062,phase4_tuning,cv_trial,,,,,True,739.0
b7f32955,phase4_tuning,Random Forest,2026-09-08T18:35:59.592662+00:00,2026-09-08T18:35:59.592675+00:00,,20,,11,29,0.2914152455245583,0.0392181086692003,phase4_tuning,cv_trial,,,,,True,572.0
b863fa82,phase4_tuning,Random Forest,2026-09-08T18:35:59.626470+00:00,2026-09-08T18:35:59.626482+00:00,,25,sqrt,3,8,0.2245913590250109,0.0352970063529685,phase4_tuning,cv_trial,,,,,False,243.0
0b9c54b2,phase4_tuning,Random Forest,2026-09-08T18:35:59.659780+00:00,2026-09-08T18:35:59.659792+00:00,,18,,17,3,0.2925368087733249,0.0374291575197487,phase4_tuning,cv_trial,,,,,False,403.0
46ba16f1,phase4_tuning,Random Forest,2026-09-08T18:35:59.695198+00:00,2026-09-08T18:35:59.695213+00:00,,14,0.7,5,33,0.2460558719883901,0.0372879525853599,phase4_tuning,cv_trial,,,,,False,108.0
5daba353,phase4_tuning,Random Forest,2026-09-08T18:35:59.732929+00:00,2026-09-08T18:35:59.732943+00:00,,5,log2,16,17,0.3963899153151892,0.0320745358367162,phase4_tuning,cv_trial,,,,,True,230.0
3319c9b2,phase4_tuning,Random Forest,2026-09-08T18:35:59.770261+00:00,2026-09-08T18:35:59.770280+00:00,,26,,11,9,0.2675501560567577,0.0460378561135682,phase4_tuning,cv_trial,,,,,False,519.0
225b39b2,phase4_tuning,Random Forest,2026-09-08T18:35:59.807580+00:00,2026-09-08T18:35:59.807596+00:00,,10,0.5,3,26,0.2340619308234846,0.0411971683305848,phase4_tuning,cv_trial,,,,,False,198.0
204f19ca,phase4_tuning,Random Forest,2026-09-08T18:35:59.843327+00:00,2026-09-08T18:35:59.843342+00:00,,20,sqrt,2,36,0.3166237844948429,0.028378581961099,phase4_tuning,cv_trial,,,,,True,780.0
2a4b7140,phase4_tuning,Random Forest,2026-09-08T18:35:59.879115+00:00,2026-09-08T18:35:59.879131+00:00,,3,0.5,1,15,0.2942357408476617,0.0335797464415537,phase4_tuning,cv_trial,,,,,False,376.0
0a992e03,phase4_tuning,Random Forest,2026-09-08T18:35:59.915295+00:00,2026-09-08T18:35:59.915310+00:00,,22,log2,17,34,0.3594063800279052,0.0298893885563878,phase4_tuning,cv_trial,,,,,False,787.0
3eb26555,phase4_tuning,Random Forest,2026-09-08T18:35:59.951720+00:00,2026-09-08T18:35:59.951734+00:00,,29,log2,14,31,0.3436334931118506,0.0293650626087147,phase4_tuning,cv_trial,,,,,False,137.0
190fb2a1,phase4_tuning,Random Forest,2026-09-08T18:35:59.988248+00:00,2026-09-08T18:35:59.988263+00:00,,15,log2,8,28,0.3156918214450254,0.0294443193611546,phase4_tuning,cv_trial,,,,,False,126.0
d260409e,phase4_tuning,Random Forest,2026-09-08T18:36:00.024323+00:00,2026-09-08T18:36:00.024337+00:00,,23,,15,34,0.2870737407769204,0.0384866820658292,phase4_tuning,cv_trial,,,,,False,552.0
7704d824,phase4_tuning,Random Forest,2026-09-08T18:36:00.060589+00:00,2026-09-08T18:36:00.060605+00:00,,18,log2,4,36,0.3059634306154079,0.0287922290152957,phase4_tuning,cv_trial,,,,,False,291.0
fc2b89bc,phase4_tuning,Random Forest,2026-09-08T18:36:00.096720+00:00,2026-09-08T18:36:00.096736+00:00,,19,0.5,14,7,0.3068099939104557,0.0317041719327336,phase4_tuning,cv_trial,,,,,True,198.0
c086912c,phase4_tuning,Random Forest,2026-09-08T18:36:00.135723+00:00,2026-09-08T18:36:00.135739+00:00,,11,0.7,17,32,0.2950872783455699,0.0345637595995291,phase4_tuning,cv_trial,,,,,False,198.0
e3e0d6cb,phase4_tuning,Random Forest,2026-09-08T18:36:00.172556+00:00,2026-09-08T18:36:00.172568+00:00,,3,0.5,1,4,0.2945868143991217,0.0329428463413387,phase4_tuning,cv_trial,,,,,False,227.0
